"profile_id";"real_money";"money"
3606574;3;0
3607873;3;0
3608518;1;0
3610334;69;100
3612607;6;0
3616674;1;0
3617908;13;0
3618848;1;0
3619123;0;100
3620828;7;0
3622075;0;200
3625872;3;400
3626557;3;0
3628748;5;100
3634357;4;0
3640692;2;0
3648443;0;400
3651327;0;600
3654695;66;1300
3657542;132;1000
3671552;3;0
3674160;1;100
3674887;0;100
3678117;3;0
3679225;150;0
3679585;85;0
3680221;6;0
3685916;7;0
3686021;1;0
3687971;0;100
3688369;78;300
3691592;29;0
3694041;3;0
3701562;3;0
3702354;31;0
3705685;1;0
3709807;13;0
3711526;2;0
3711633;4;0
3714171;1;0
3718978;16;300
3719006;17;100
3722819;73;0
3725128;64;0
3727666;3;0
3734458;380;400
3736521;474;0
3738781;1;0
3739784;19;700
3745898;0;100
3748520;1;0
3752643;0;300
3753381;105;1300
3760260;0;400
3760301;30;0
3760317;3;1200
3765552;4;0
3766316;144;0
3767409;1;0
3768995;3;0
3771298;6;0
3771436;7;100
3772141;3;0
3783512;3;0
3787563;6;0
3789642;10;0
3795182;3;300
3795887;10;300
3795946;4;0
3795948;10;0
3796782;1;0
3797084;874;22800
3797449;3;0
3799185;0;100
3805502;28;300
3807898;10;0
3812837;42;0
3813471;1;0
3813906;4;100
3818305;10;0
3823936;10;0
3829910;3;0
3830557;23;600
3835612;0;100
3835676;6;0
3841930;3;0
3844705;48;0
3849207;2;100
3852130;3;0
3857559;1;0
3858102;0;100
3860284;3;1000
3860702;10;0
3861453;0;100
3867634;26;300
3867927;3;0
3868736;3;0
3878111;28;0
3884300;3;0
3893015;28;0
3893702;3;0
3895411;1;0
3896070;3;0
3896753;6;0
