36375;1;1000
48950;28;0
89242;3;0
135372;7;300
148768;30;600
152717;3;0
181858;10;0
189066;1;1600
222084;0;300
231345;3;0
232330;1;0
243758;0;300
244373;1293;60000
247060;3;0
269425;0;300
280061;20;100
284475;80;900
294413;3;0
301948;13;1100
314863;0;100
335345;0;600
336448;3;0
337345;22;0
343579;6;0
364895;28;0
412507;1;0
421009;0;100
425431;21;0
428202;33;0
428470;2;0
444787;3;0
455996;4;0
456246;38;0
466737;4;0
468889;1;0
471338;3;0
474875;21;100
484458;202;1000
486762;3;0
497144;48;0
515527;28;0
518407;1;0
520685;3;0
523940;1;0
533173;6;0
534467;600;0
536041;10;0
536695;28;0
539900;4;400
542732;3;0
543395;1;0
544576;10;0
552153;3;0
553477;179;300
555091;22;0
559457;3;0
562243;13;0
565740;21;0
567010;60;0
577982;0;300
581374;0;100
581619;3;0
582011;3;0
596012;6;0
596307;0;2800
597541;48;0
603327;36;0
603805;6;0
607566;20;0
613207;150;0
616393;1;0
622061;13;0
628028;14;0
633549;3;0
635091;0;300
639089;10;100
640447;200;0
644060;3;0
644245;0;100
644869;1;100
659939;20;300
662374;6;0
663918;4;0
664072;1;0
672169;0;300
673104;74;0
683481;3;0
684151;200;0
685148;3;0
687834;10;0
689757;817;4600
704683;10;0
707816;3;0
711047;3;0
712215;0;1000
718179;0;100
718582;2;0
721905;56;300
726018;29;0
726140;3;300
727981;11;0
728153;75;1600
732819;17;1500
742776;200;0
744359;3;1000
746014;10;0
746609;0;1000
746698;3;0
750817;20;0
751814;3;0
754009;1;0
755723;3;0
757012;10;0
760292;3;0
761276;0;300
762115;10;0
762642;1;0
765612;200;0
765920;0;100
767008;10;0
767417;1;0
768329;38;400
768674;1;0
768845;4;0
770557;3;0
770635;1;0
771515;0;400
771557;41;0
771816;0;200
773477;0;100
773523;0;900
774960;20;0
775379;2;0
775438;22;0
776018;24;300
776710;3;0
777209;5;0
777879;59;0
777885;384;600
778306;3;0
779281;29;0
779283;0;300
780198;7;0
780569;3;0
780985;3;0
781026;4;0
781039;3;0
781063;240;0
781385;49;300
781691;12;0
781784;0;100
782341;128;0
782411;79;1200
782579;0;100
782665;3;0
782862;10;0
783010;3;0
783603;7;0
784251;1;300
784732;3;0
787814;28;0
788166;0;300
790292;10;0
790691;8;0
790728;28;0
791371;0;100
793327;10;0
793456;117;600
793722;3;0
794114;1;0
794711;30;0
796960;16;3100
797704;13;0
798908;258;300
799082;94;0
799160;0;200
800119;90;0
801980;600;0
802399;5;0
803469;3;0
803502;28;2800
803990;200;0
804947;3;0
806819;3;0
807177;3;0
807638;11;100
808085;10;300
809180;0;300
810250;10;1000
810658;1;100
811927;0;300
813661;10;1000
